Choose date,City,Customer Name,Customer Segment,Order Date,Order ID,Order Priority,Product Category,Product Container,Product Name,Product Sub-Category,Region,Row ID,Ship Date,Ship Mode,State,Zip Code,Category/Categories,Customer Age,Discount,Number of Records,Order Quantity,Product Base Margin,Profit,Sales,Select Meaure name,Shipping Cost,Unit Price
Jan-12,Fort Dodge,Matt Collins,Consumer,05-01-2012,1028,High,Technology,Small Pack,"Memorex 4.7GB DVD+RW, 3/Pack",Computer Peripherals,Central,164,06-01-2012,Regular Air,Iowa,50501,Category,,0.03,1,6,0.4,-$28,$166,6,1.99,28.48
Jan-12,Bedford,Darren Budd,Consumer,05-01-2012,57253,Critical,Furniture,Jumbo Drum,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Chairs & Chairmats,Central,8012,07-01-2012,Delivery Truck,Texas,76021,Category,,0.06,1,29,0.64,"-$1,359",$654,29,53.03,20.98
Jan-12,Norman,Pauline Chand,Small Business,05-01-2012,28451,Critical,Furniture,Large Box,Electrix Halogen Magnifier Lamp,Office Furnishings,Central,3981,07-01-2012,Regular Air,Oklahoma,73071,Category,,0.01,1,21,0.59,"$1,163","$4,201",21,11.54,194.3
Jan-12,Monroe,Robert Waldorf,Home Office,05-01-2012,59232,High,Office Supplies,Small Box,"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Paper,South,8291,07-01-2012,Regular Air,Louisiana,71203,Category,,0,1,23,0.4,$246,$725,23,5.76,30.98
Jan-12,Mount Prospect,Susan Vittorini,Home Office,05-01-2012,52386,High,Technology,Jumbo Drum,Canon S750 Color Inkjet Printer,Office Machines,Central,7352,07-01-2012,Delivery Truck,Illinois,60056,Category,,0.08,1,6,0.38,-$189,$701,6,26.3,120.97
Jan-12,Norman,Pauline Chand,Small Business,05-01-2012,28451,Critical,Technology,Jumbo Drum,Panasonic KX-P1150 Dot Matrix Printer,Office Machines,Central,3983,07-01-2012,Delivery Truck,Oklahoma,73071,Category,,0,1,33,0.56,"$1,055","$4,914",33,17.85,145.45
Jan-12,Fort Dodge,Matt Collins,Consumer,05-01-2012,1028,High,Technology,Small Box,3285,Telephones and Communication,Central,165,07-01-2012,Regular Air,Iowa,50501,Category,,0.01,1,11,0.59,-$60,"$2,021",11,5.99,205.99
Jan-12,Bristol,Corey Roper,Small Business,06-01-2012,48226,Low,Furniture,Jumbo Box,"Bush Westfield Collection Bookcases, Fully Assembled",Bookcases,East,6773,06-01-2012,Delivery Truck,Connecticut,6010,Category,,0.02,1,23,0.62,-$109,"$2,357",23,35.84,100.98
Jan-12,Galesburg,Julia West,Home Office,06-01-2012,23488,Critical,Furniture,Jumbo Box,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Bookcases,Central,3284,07-01-2012,Delivery Truck,Illinois,61401,Category,,0.04,1,30,0.62,"-$11,054","$26,133",30,44.55,880.98
Jan-12,Petersburg,Muhammed Yedwab,Consumer,06-01-2012,16770,Critical,Office Supplies,Wrap Bag,"Sanford EarthWrite® Recycled Pencils, Medium Soft, #2",Pens & Art Supplies,South,2325,07-01-2012,Regular Air,Virginia,23805,Category,,0.03,1,17,0.57,$1,$37,17,0.7,2.1
Jan-12,Hilton Head Island,Craig Leslie,Consumer,06-01-2012,14274,Not Specified,Technology,Small Box,Accessory35,Telephones and Communication,South,2003,07-01-2012,Regular Air,South Carolina,29915,Category,,0.03,1,2,0.55,-$164,$62,2,1.1,35.99
Jan-12,Herndon,Tracy Collins,Consumer,06-01-2012,16961,Not Specified,Technology,Small Pack,BASF Silver 74 Minute CD-R,Computer Peripherals,South,2350,07-01-2012,Regular Air,Virginia,20170,Category,,0.06,1,27,0.51,-$37,$47,27,1.99,1.7
Jan-12,Hilton Head Island,Craig Leslie,Consumer,06-01-2012,14274,Not Specified,Furniture,Jumbo Drum,Novimex Swivel Fabric Task Chair,Chairs & Chairmats,South,2001,08-01-2012,Delivery Truck,South Carolina,29915,Category,,0.01,1,23,0.74,$112,"$3,674",23,30,150.98
Jan-12,Royal Palm Beach,Victor Price,Consumer,06-01-2012,6854,Medium,Furniture,Small Pack,G.E. Longer-Life Indoor Recessed Floodlight Bulbs,Office Furnishings,South,948,08-01-2012,Express Air,Florida,33411,Category,,0.05,1,19,0.37,$2,$130,19,4.95,6.64
Jan-12,Royal Palm Beach,Victor Price,Consumer,06-01-2012,6854,Medium,Office Supplies,Small Box,GBC VeloBinder Strips,Binders and Binder Accessories,South,947,08-01-2012,Express Air,Florida,33411,Category,,0.07,1,1,0.35,-$2,$22,1,6.16,7.68
Jan-12,Hilton Head Island,Craig Leslie,Consumer,06-01-2012,14274,Not Specified,Office Supplies,Medium Box,Eldon Portable Mobile Manager,Storage & Organization,South,2002,08-01-2012,Express Air,South Carolina,29915,Category,,0.01,1,46,0.58,-$41,"$1,414",46,13.99,28.28
Jan-12,Herndon,Tracy Collins,Consumer,06-01-2012,16961,Not Specified,Office Supplies,Small Box,Xerox 19,Paper,South,2351,08-01-2012,Regular Air,Virginia,20170,Category,,0.01,1,34,0.4,$433,"$1,090",34,5.09,30.98
Jan-12,Fairfax,Maribeth Schnelling,Corporate,06-01-2012,41094,Low,Office Supplies,Small Box,Xerox 227,Paper,South,5794,08-01-2012,Regular Air,Virginia,20151,Category,,0.09,1,46,0.37,-$226,$299,46,8.73,6.48
Jan-12,San Clemente,Julia Barnett,Home Office,06-01-2012,23488,High,Office Supplies,Wrap Bag,Newell 342,Pens & Art Supplies,West,3283,08-01-2012,Regular Air,California,92672,Category,,0.03,1,29,0.56,-$73,$102,29,3.97,3.28
Jan-12,Fairfax,Maribeth Schnelling,Corporate,06-01-2012,41094,Low,Office Supplies,Large Box,Tennsco Commercial Shelving,Storage & Organization,South,5795,10-01-2012,Regular Air,Virginia,20151,Category,,0.05,1,6,0.84,-$153,$159,6,35,20.34
Jan-12,Las Vegas,Chloris Kastensmidt,Consumer,07-01-2012,43909,High,Office Supplies,Small Box,"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",Binders and Binder Accessories,West,6199,08-01-2012,Regular Air,Nevada,89115,Category,,0.08,1,46,0.37,-$199,$737,46,13.18,15.99
Jan-12,Franklin Square,Jasper Cacioppo,Home Office,07-01-2012,3073,Medium,Office Supplies,Small Box,Avery Reinforcements for Hole-Punch Pages,Binders and Binder Accessories,East,450,08-01-2012,Regular Air,New York,11010,Category,,0.05,1,3,0.4,-$12,$11,3,4.77,1.98
Jan-12,Franklin Square,Jasper Cacioppo,Home Office,07-01-2012,3073,Medium,Technology,Large Box,Canon PC1060 Personal Laser Copier,Copiers and Fax,East,451,08-01-2012,Express Air,New York,11010,Category,,0.07,1,3,0.41,"-$2,315","$2,120",3,24.49,699.99
Jan-12,Franklin Square,Jasper Cacioppo,Home Office,07-01-2012,3073,Medium,Technology,Large Box,Polycom ViewStation™ ISDN Videoconferencing Unit,Office Machines,East,452,08-01-2012,Regular Air,New York,11010,Category,,0.07,1,7,0.39,$103,"$45,924",7,24.49,6783.02
Jan-12,Norman,Pauline Chand,Small Business,07-01-2012,32295,High,Technology,Small Box,i1000,Telephones and Communication,Central,4540,08-01-2012,Regular Air,Oklahoma,73071,Category,,0.07,1,11,0.58,-$112,$608,11,5.99,65.99
Jan-12,Lubbock,George Ashbrook,Consumer,07-01-2012,18405,Medium,Office Supplies,Small Box,Premium Transparent Presentation Covers by GBC,Binders and Binder Accessories,Central,2538,09-01-2012,Express Air,Texas,79424,Category,,0.09,1,30,0.37,$60,$611,30,8.83,20.98
Jan-12,Lubbock,George Ashbrook,Consumer,07-01-2012,18405,Medium,Technology,Small Box,Keytronic French Keyboard,Computer Peripherals,Central,2539,10-01-2012,Regular Air,Texas,79424,Category,,0.03,1,2,0.65,-$263,$158,2,14.52,73.98
Jan-12,Fresno,Benjamin Venier,Small Business,07-01-2012,33923,Low,Technology,Small Box,i1000,Telephones and Communication,West,4778,11-01-2012,Regular Air,California,93727,Category,,0.05,1,34,0.58,$426,"$1,962",34,5.99,65.99
Jan-12,Brunswick,Julie Kriz,Corporate,07-01-2012,40704,Low,Office Supplies,Wrap Bag,Newell 310,Pens & Art Supplies,East,5733,12-01-2012,Regular Air,Maine,4011,Category,,0.01,1,6,0.56,-$2,$12,6,0.7,1.76
Jan-12,Garfield Heights,Sandra Flanagan,Home Office,08-01-2012,4193,High,Furniture,Small Pack,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Office Furnishings,East,612,08-01-2012,Regular Air,Ohio,44125,Category,,0.03,1,3,0.44,$64,$76,3,8.99,22.72
Jan-12,Garfield Heights,Sandra Flanagan,Home Office,08-01-2012,4193,High,Office Supplies,Small Box,Avery 491,Labels,East,611,08-01-2012,Regular Air,Ohio,44125,Category,,0.07,1,16,0.39,$14,$64,16,0.99,4.13
Jan-12,Myrtle Beach,Luke Schmidt,Home Office,08-01-2012,30083,Not Specified,Office Supplies,Small Box,Acco 6 Outlet Guardian Premium Surge Suppressor,Appliances,South,4234,09-01-2012,Regular Air,South Carolina,29577,Category,,0.07,1,23,0.58,$20,$324,23,3.5,14.56
Jan-12,Edmonds,Ruben Dartt,Corporate,08-01-2012,7203,High,Office Supplies,Small Box,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,West,998,10-01-2012,Regular Air,Washington,98026,Category,,0.03,1,25,0.38,"$9,296","$21,752",25,19.99,896.99
Jan-12,Pasadena,Mark Haberlin,Small Business,09-01-2012,31715,Not Specified,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,West,4451,09-01-2012,Regular Air,California,91104,Category,,0.05,1,44,0.56,-$117,$145,44,3.97,3.28
Jan-12,Lawton,Joni Blumstein,Home Office,09-01-2012,18561,Not Specified,Office Supplies,Small Box,"Avery 05222 Permanent Self-Adhesive File Folder Labels for Typewriters, on Rolls, White, 250/Roll",Labels,Central,2571,10-01-2012,Regular Air,Oklahoma,73505,Category,,0.02,1,9,0.39,-$39,$46,9,6.89,4.13
Jan-12,Pasadena,Mark Haberlin,Small Business,09-01-2012,31715,Not Specified,Office Supplies,Small Box,"Acco PRESSTEX® Data Binder with Storage Hooks, Dark Blue, 9 1/2"" X 11""",Binders and Binder Accessories,West,4450,10-01-2012,Regular Air,California,91104,Category,,0.01,1,11,0.36,-$54,$69,11,7.57,5.38
Jan-12,Gilroy,Cynthia Voltz,Corporate,09-01-2012,8576,High,Office Supplies,Small Pack,Boston 16765 Mini Stand Up Battery Pencil Sharpener,Pens & Art Supplies,West,1173,11-01-2012,Express Air,California,95020,Category,,0,1,43,0.59,-$164,$541,43,8.99,11.66
Jan-12,Plainfield,Yana Sorensen,Corporate,09-01-2012,58343,Not Specified,Office Supplies,Wrap Bag,Acco® Hot Clips™ Clips to Go,Rubber Bands,East,8161,11-01-2012,Regular Air,New Jersey,7060,Category,,0.07,1,39,0.4,$11,$122,39,1.35,3.29
Jan-12,Augusta,Mark Haberlin,Small Business,09-01-2012,31715,Not Specified,Office Supplies,Wrap Bag,Newell 339,Pens & Art Supplies,East,4449,11-01-2012,Regular Air,Maine,4330,Category,,0.09,1,24,0.59,-$4,$64,24,0.97,2.78
Jan-12,Madison,Olvera Toch,Home Office,09-01-2012,40097,Low,Office Supplies,Wrap Bag,12 Colored Short Pencils,Pens & Art Supplies,Central,5666,14-01-2012,Regular Air,Wisconsin,53711,Category,,0.1,1,47,0.58,-$71,$118,47,2.4,2.6
Jan-12,King of Prussia,Benjamin Patterson,Corporate,09-01-2012,47138,Low,Technology,Small Box,M70,Telephones and Communication,East,6627,16-01-2012,Regular Air,Pennsylvania,19406,Category,,0.04,1,1,0.59,-$506,$108,1,8.99,125.99
Jan-12,East Lansing,Kristina Nunn,Consumer,10-01-2012,55367,Critical,Furniture,Jumbo Box,"Hon Metal Bookcases, Putty",Bookcases,Central,7731,11-01-2012,Delivery Truck,Michigan,48823,Category,,0.05,1,31,0.56,-$686,"$2,137",31,46.74,70.98
Jan-12,Denton,Darren Powers,Corporate,10-01-2012,14596,Critical,Office Supplies,Wrap Bag,Newell 337,Pens & Art Supplies,Central,2046,11-01-2012,Regular Air,Texas,76201,Category,,0.06,1,19,0.56,-$54,$63,19,3.97,3.28
Jan-12,Lehi,Ann Steele,Corporate,10-01-2012,44391,Not Specified,Office Supplies,Small Box,Xerox 1996,Paper,West,6273,11-01-2012,Regular Air,Utah,84043,Category,,0.02,1,16,0.37,-$85,$113,16,9.17,6.48
Jan-12,Pittsburgh,Rob Haberlin,Consumer,10-01-2012,33988,Medium,Technology,Small Pack,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Computer Peripherals,East,4787,11-01-2012,Regular Air,Pennsylvania,15122,Category,,0,1,30,0.79,-$128,$165,30,5.14,5.02
Jan-12,Essex Junction,Giulietta Dortch,Corporate,10-01-2012,28999,High,Technology,Small Pack,"Imation Neon 80 Minute CD-R Spindle, 50/Pack",Computer Peripherals,East,4073,11-01-2012,Regular Air,Vermont,5451,Category,,0.02,1,34,0.45,$420,"$1,178",34,1.99,33.98
Jan-12,Denton,Darren Powers,Corporate,10-01-2012,14596,Critical,Furniture,Wrap Bag,Document Clip Frames,Office Furnishings,Central,2045,12-01-2012,Regular Air,Texas,76201,Category,,0.01,1,24,0.43,$73,$199,24,0.96,8.34
Jan-12,Hazelwood,Maria Bertelson,Home Office,10-01-2012,28290,Low,Office Supplies,Small Box,Fellowes Super Stor/Drawer® Files,Storage & Organization,Central,3965,12-01-2012,Express Air,MO,63042,Category,,0.01,1,3,0.66,-$179,$524,3,19.99,161.55
Jan-12,East Lansing,Kristina Nunn,Consumer,10-01-2012,55367,Critical,Office Supplies,Wrap Bag,Newell 309,Pens & Art Supplies,Central,7732,12-01-2012,Regular Air,Michigan,48823,Category,,0.05,1,48,0.55,$130,$571,48,2.36,11.55
Jan-12,Minnetonka,Sean Wendt,Corporate,10-01-2012,31553,Critical,Office Supplies,Small Box,Multimedia Mailers,Envelopes,Central,4425,12-01-2012,Regular Air,Minnesota,55345,Category,,0.09,1,32,0.39,"$1,908","$4,907",32,19.99,162.93
Jan-12,Hazelwood,Maria Bertelson,Home Office,10-01-2012,28290,Low,Technology,Small Box,"Fellowes Internet Keyboard, Platinum",Computer Peripherals,Central,3964,14-01-2012,Express Air,MO,63042,Category,,0.05,1,43,0.74,-$154,"$1,307",43,8.65,30.42
Jan-12,Pleasure Ridge Park,Michelle Moray,Corporate,10-01-2012,20037,Low,Furniture,Small Box,"Deflect-o SuperTray™ Unbreakable Stackable Tray, Letter, Black",Office Furnishings,South,2775,15-01-2012,Regular Air,Kentucky,40258,Category,,0.02,1,35,0.42,$340,"$1,009",35,8.55,29.18
Jan-12,Pleasure Ridge Park,Michelle Moray,Corporate,10-01-2012,20037,Low,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,South,2776,15-01-2012,Delivery Truck,Kentucky,40258,Category,,0.03,1,49,0.57,"$4,913","$15,137",49,14.7,297.64
Jan-12,Trenton,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Office Supplies,Small Box,Xerox 188,Paper,East,4758,11-01-2012,Regular Air,New Jersey,8601,Category,,0.03,1,18,0.36,$31,$217,18,5.01,11.34
Jan-12,Bellingham,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Technology,Jumbo Drum,Panasonic KX-P3200 Dot Matrix Printer,Office Machines,East,4754,11-01-2012,Delivery Truck,MA,2019,Category,,0.08,1,20,0.57,$654,"$4,531",20,14.7,297.64
Jan-12,Beverly,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Furniture,Large Box,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Office Furnishings,East,4755,12-01-2012,Regular Air,MA,1915,Category,,0.02,1,44,0.73,-$449,$575,44,14.37,12.99
Jan-12,Hanson,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Office Supplies,Medium Box,Holmes Odor Grabber,Appliances,East,4756,12-01-2012,Regular Air,MA,2341,Category,,0.06,1,18,0.52,-$22,$263,18,6.75,14.42
Jan-12,Springfield,Alan Barnes,Corporate,11-01-2012,19655,High,Technology,Small Pack,Verbatim DVD-R 4.7GB authoring disc,Computer Peripherals,Central,2726,12-01-2012,Regular Air,Illinois,62701,Category,,0.06,1,31,0.51,$304,"$1,143",31,1.99,39.24
Jan-12,Hawthorne,Bradley Drucker,Small Business,11-01-2012,33797,Not Specified,Furniture,Small Box,Eldon Image Series Black Desk Accessories,Office Furnishings,East,4757,13-01-2012,Express Air,New Jersey,7506,Category,,0.05,1,29,0.49,-$104,$138,29,6.6,4.14
Jan-12,Lebanon,Andy Gerbode,Consumer,11-01-2012,21830,Low,Technology,Jumbo Box,Okidata ML320 Series Turbo Dot Matrix Printers,Office Machines,South,3040,18-01-2012,Delivery Truck,Tennessee,37087,Category,,0.08,1,19,0.56,$907,"$6,992",19,12.06,399.98
Jan-12,Florence,Cindy Schnelling,Corporate,12-01-2012,20549,Not Specified,Office Supplies,Small Box,Fellowes Super Stor/Drawer®,Storage & Organization,South,2855,13-01-2012,Regular Air,Kentucky,41042,Category,,0.09,1,40,0.67,-$569,"$1,030",40,19.99,27.75
Jan-12,Englewood,Greg Matthias,Home Office,12-01-2012,7461,Low,Furniture,Jumbo Drum,Global Leather Executive Chair,Chairs & Chairmats,West,1024,14-01-2012,Delivery Truck,Colorado,80112,Category,,0.05,1,12,0.55,$594,"$4,080",12,39,350.99
Jan-12,Gaithersburg,Rick Reed,Consumer,12-01-2012,43362,Critical,Office Supplies,Wrap Bag,Prang Dustless Chalk Sticks,Pens & Art Supplies,East,6123,14-01-2012,Regular Air,Maryland,20877,Category,,0.04,1,33,0.35,$3,$58,33,1,1.68
Jan-12,Fort Thomas,Liz Price,Consumer,12-01-2012,27813,Medium,Technology,Small Box,Targus USB Numeric Keypad,Computer Peripherals,South,3901,14-01-2012,Regular Air,Kentucky,41075,Category,,0.1,1,10,0.74,-$131,$401,10,6.5,40.98
Jan-12,Gaithersburg,Rick Reed,Consumer,12-01-2012,43362,Critical,Furniture,Jumbo Drum,Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,Chairs & Chairmats,East,6122,15-01-2012,Delivery Truck,Maryland,20877,Category,,0.03,1,45,0.61,"$4,277","$15,963",45,30,350.98
Jan-12,Springfield,Guy Thornton,Corporate,12-01-2012,37862,Not Specified,Office Supplies,Small Box,Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Appliances,Central,5327,15-01-2012,Regular Air,MO,65807,Category,,0.01,1,27,0.57,$452,"$1,603",27,3.99,59.98
Jan-12,Englewood,Greg Matthias,Home Office,12-01-2012,7461,Low,Office Supplies,Small Box,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Envelopes,West,1025,16-01-2012,Regular Air,Colorado,80112,Category,,0,1,28,0.38,$111,$261,28,1.39,8.74
